2022-11-06 16:19:12,632 INFO    MainThread:1491665 [wandb_setup.py:_flush():76] Configure stats pid to 1491665
2022-11-06 16:19:12,633 INFO    MainThread:1491665 [wandb_setup.py:_flush():76] Loading settings from /home/ilena7440/.config/wandb/settings
2022-11-06 16:19:12,633 INFO    MainThread:1491665 [wandb_setup.py:_flush():76] Loading settings from /home/ilena7440/slsq/LSQ/wandb/settings
2022-11-06 16:19:12,633 INFO    MainThread:1491665 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2022-11-06 16:19:12,633 INFO    MainThread:1491665 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'main.py', 'program': 'main.py'}
2022-11-06 16:19:12,633 INFO    MainThread:1491665 [wandb_init.py:_log_setup():461] Logging user logs to /home/ilena7440/slsq/LSQ/wandb/run-20221106_161912-2e7vcivc/logs/debug.log
2022-11-06 16:19:12,633 INFO    MainThread:1491665 [wandb_init.py:_log_setup():462] Logging internal logs to /home/ilena7440/slsq/LSQ/wandb/run-20221106_161912-2e7vcivc/logs/debug-internal.log
2022-11-06 16:19:12,633 INFO    MainThread:1491665 [wandb_init.py:init():495] calling init triggers
2022-11-06 16:19:12,633 INFO    MainThread:1491665 [wandb_init.py:init():498] wandb.init called with sweep_config: {}
config: {}
2022-11-06 16:19:12,633 INFO    MainThread:1491665 [wandb_init.py:init():548] starting backend
2022-11-06 16:19:12,633 INFO    MainThread:1491665 [backend.py:_multiprocessing_setup():97] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2022-11-06 16:19:12,640 INFO    MainThread:1491665 [backend.py:ensure_launched():217] starting backend process...
2022-11-06 16:19:12,645 INFO    MainThread:1491665 [backend.py:ensure_launched():222] started backend process with pid: 1491706
2022-11-06 16:19:12,646 INFO    MainThread:1491665 [wandb_init.py:init():558] backend started and connected
2022-11-06 16:19:12,648 INFO    MainThread:1491665 [wandb_init.py:init():634] updated telemetry
2022-11-06 16:19:12,658 INFO    MainThread:1491665 [wandb_init.py:init():665] communicating run to backend with 30 second timeout
2022-11-06 16:19:13,335 INFO    MainThread:1491665 [wandb_run.py:_on_init():1919] communicating current version
2022-11-06 16:19:13,373 INFO    MainThread:1491665 [wandb_run.py:_on_init():1923] got version response upgrade_message: "wandb version 0.13.5 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2022-11-06 16:19:13,373 INFO    MainThread:1491665 [wandb_init.py:init():700] starting run threads in backend
2022-11-06 16:19:13,467 INFO    MainThread:1491665 [wandb_run.py:_console_start():1893] atexit reg
2022-11-06 16:19:13,468 INFO    MainThread:1491665 [wandb_run.py:_redirect():1766] redirect: SettingsConsole.REDIRECT
2022-11-06 16:19:13,468 INFO    MainThread:1491665 [wandb_run.py:_redirect():1771] Redirecting console.
2022-11-06 16:19:13,469 INFO    MainThread:1491665 [wandb_run.py:_redirect():1827] Redirects installed.
2022-11-06 16:19:13,469 INFO    MainThread:1491665 [wandb_init.py:init():732] run started, returning control to user process
